name,item_num,rating,price
Osprey Mira 32 Hydration Pack - Women's,Item #229037,5.0, $159.73
Klymit Static V Sleeping Pad,Item #229018,2.6, $44.73
Klymit Klymit Insulated V Sleeping Pad - Double,Item #229011,0.0, $124.73
Gregory Maya 16 Pack - Women's Plus Size,Item #227896,0.0, $81.73
Gregory Miwok 18 Pack - Men's Plus Size,Item #227895,0.0, $82.73
Gregory Citro 30 H2O Hydration Pack - Men's,Item #227891,4.7, $119.73
Gregory Citro 24 H2O Hydration Pack - Men's,Item #227820,4.4, $112.73
Therm-a-Rest UltraLite Cot,Item #227793,2.3, $179.73
Coleman EasyStay Lite Single High Airbed with Pump - Queen,Item #227717,0.0, $59.73
CamelBak Arete 18 Hydration Pack 50 fl. oz.,Item #227650,4.6, $49.73
Big Agnes Soul Kitchen Camp Table,Item #223034,4.0, $96.73
Big Agnes Elsie 15 Sleeping Bag - Women's,Item #223020,0.0, $94.73
Gregory Deva 60 Pack - Women's,Item #222452,4.5, $177.73
Gregory Maya 10 Pack - Women's,Item #222434,4.6, $74.73
Big Agnes Insulated Q-Core Deluxe Sleeping Pad - Long X-Wide,Item #220891,4.3, $174.73
Gregory Deva 70 Pack - Women's,Item #215734,5.0, $247.73
Outdoor Research Deerskin Merino Work Gloves,Item #214927,4.0, $59.73
ALPS Mountaineering Reservoir 3.0 Hydration Reservoir - 3 Liters,Item #213462,4.3, $20.73
Mountain Hardwear J Tree 30 Pack,Item #212526,4.3, $66.73
Mountainsmith Hotbox Hauler,Item #208010,5.0, $59.73
RovR Products BikR Arm,Item #207273,4.7, $29.93
Big Agnes Sun Dog 45 L Pack - Women's,Item #206196,4.3, $114.83
Big Agnes Prospector 50 L Pack - Men's,Item #206195,3.4, $114.83
Trekmates Mountain Pod Emergency Shelter - M,Item #205539,3.0, $43.73
Exped Orion III Footprint,Item #203805,0.0, $54.73
Exped Mira I HL Footprint,Item #203767,4.0, $44.73
OllyDog Rover Dog Pack Bundle,Item #200551,4.3, $44.73
MiiR Food Canister - 24 fl. oz.,Item #197833,3.3, $29.93
Sealskinz Waterproof Cold-Weather Work Gloves with Fusion Control,Item #196998,3.3, $76.93
Sea to Summit Flame Ultralight 48F Sleeping Bag - Women's,Item #191477,4.6, $268.93
Zempire Pocket Rocket Campsite Utility Tent,Item #190505,4.5, $149.93
Ultimate Direction FastpackHer 20 Pack - Women's,Item #187813,3.7, $74.93
ALPS Mountaineering Meramac 5 Floor Saver Footprint,Item #185044,5.0, $33.73
Thule Tepui Anti-Condensation Mat - Autana 4,Item #174362,3.6, $109.93
Mountainsmith Celestial 4 Tent,Item #174094,4.5, $160.73
Mountain Summit Gear Ground Chair,Item #170879,3.7, $27.93
NEMO Forte 35 Sleeping Bag - Women's,Item #163033,4.6, $141.83
RovR Products Essentials Pack,Item #149806,4.8, $59.93
REI Co-op Base Camp 6 Footprint,Item #136060,4.4, $31.83
Marmot Limestone 4P Footprint,Item #110896,4.5, $26.93
Exped Versa 2R Sleeping Pad,Item #226174,4.4, $79.73
Osprey Hydraulics LT Reservoir - 2.5 Liters,Item #233343,2.3, $24.73
